"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-25 10:17:29",1761387449669,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387449209-d2d8c0f8fa0e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] ERRO 400 Bad Request [""ERROR_SESSION_TOKEN_MISSING"",""o parâmetro session_token está faltando ou vazio; ver documentação em seu navegador em http://177.153.50.101/glpi/apirest.php/#ERROR_SESSION_TOKEN_MISSING""]","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ2Y23PRNHW97YSK4J3JB","",-1
"2025-10-25 10:17:29",1761387449669,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387449209-d2d8c0f8fa0e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","info","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] 400 Bad Request https://chamados.jacontactcenter.com.br/apirest.php/search/Ticket?forcedisplay[0]=2&range=0-999","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ2Y23PRNHW97YSK4J3JB","",-1
"2025-10-25 10:17:29",1761387449282,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",500,"9bwww-1761387449209-d2d8c0f8fa0e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",379,"iad1",107,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ2Y23PRNHW97YSK4J3JB","RsBipUiIh4pE",1
"2025-10-25 10:17:29",1761387449145,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",-1,"hrpqw-1761387448935-e77609feb539","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/_glpi' imported from /var/task/api/tickets.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/_glpi'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ2NBWGVBC0ECACWAXNJ9","",-1
"2025-10-25 10:17:29",1761387449003,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",500,"hrpqw-1761387448935-e77609feb539","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",122,"iad1",77,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ2NBWGVBC0ECACWAXNJ9","",1
"2025-10-25 10:17:28",1761387448107,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"j78rw-1761387447600-18adb86699e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] ERRO 400 Bad Request [""ERROR_SESSION_TOKEN_MISSING"",""o parâmetro session_token está faltando ou vazio; ver documentação em seu navegador em http://177.153.50.101/glpi/apirest.php/#ERROR_SESSION_TOKEN_MISSING""]","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ1BQ5Q6P13MH6CVG5T95","",-1
"2025-10-25 10:17:28",1761387448107,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"j78rw-1761387447600-18adb86699e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","info","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] 400 Bad Request https://chamados.jacontactcenter.com.br/apirest.php/search/Ticket?forcedisplay[0]=2&range=0-999","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ1BQ5Q6P13MH6CVG5T95","",-1
"2025-10-25 10:17:27",1761387447803,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",-1,"c65ww-1761387447592-f8cf52f062a1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/_glpi' imported from /var/task/api/tickets.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/_glpi'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ1BDHBB94R5YAT1VS8JR","",-1
"2025-10-25 10:17:27",1761387447671,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",500,"j78rw-1761387447600-18adb86699e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",423,"iad1",107,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ1BQ5Q6P13MH6CVG5T95","RsBipUiIh4pE",1
"2025-10-25 10:17:27",1761387447661,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",500,"c65ww-1761387447592-f8cf52f062a1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",121,"iad1",76,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ1BDHBB94R5YAT1VS8JR","",1
